序号,分类,刊物简称,刊物全称,类型,级别,出版社,网址
3,网络与信息安全,JISA,Journal of Information Security and Applications,Journal,C,Elsevier,http://dblp.uni-trier.de/db/journals/istr/
3,网络与信息安全,SCN,Security and Communication Networks,Journal,C,Wiley,http://dblp.uni-trier.de/db/journals/scn/
3,网络与信息安全,,Cybersecurity,Journal,C,Springer,https://dblp.uni-trier.de/db/journals/cybersec/index.html
4,软件工程/系统软件/程序设计语言,PLDI,ACM SIGPLAN Conference on Programming Language Design and   Implementation,Conference,A,ACM,http://dblp.uni-trier.de/db/conf/pldi/
4,软件工程/系统软件/程序设计语言,POPL,ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,Conference,A,ACM,http://dblp.uni-trier.de/db/conf/popl/
4,软件工程/系统软件/程序设计语言,FSE/ESEC,ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,Conference,A,ACM ,http://dblp.uni-trier.de/db/conf/sigsoft/
4,软件工程/系统软件/程序设计语言,SOSP,ACM Symposium on Operating Systems Principles,Conference,A,ACM,http://dblp.uni-trier.de/db/conf/sosp/
4,软件工程/系统软件/程序设计语言,OOPSLA,"Conference on Object-Oriented Programming Systems, Languages,and Applications",Conference,A,ACM,http://dblp.uni-trier.de/db/conf/oopsla/
4,软件工程/系统软件/程序设计语言,ASE,International Conference on Automated Software Engineering,Conference,A,IEEE/ACM,http://dblp.uni-trier.de/db/conf/kbse/
4,软件工程/系统软件/程序设计语言,ICSE,International Conference on Software Engineering,Conference,A,ACM/IEEE,http://dblp.uni-trier.de/db/conf/icse/
4,软件工程/系统软件/程序设计语言,ISSTA,International Symposium on Software Testing and Analysis,Conference,A,ACM,http://dblp.uni-trier.de/db/conf/issta/
4,软件工程/系统软件/程序设计语言,OSDI,USENIX Symposium on Operating Systems Design and Implementations,Conference,A,USENIX,http://dblp.uni-trier.de/db/conf/osdi/
4,软件工程/系统软件/程序设计语言,FM,International Symposium on Formal Methods,Conference,A,FME,http://dblp.uni-trier.de/db/conf/fm/
4,软件工程/系统软件/程序设计语言,TOPLAS,ACM Transactions on Programming Languages and Systems,Journal,A,ACM,http://dblp.uni-trier.de/db/journals/toplas/
4,软件工程/系统软件/程序设计语言,TOSEM,ACM Transactions on Software Engineering and Methodology,Journal,A,ACM,http://dblp.uni-trier.de/db/journals/tosem/
4,软件工程/系统软件/程序设计语言,TSE,IEEE Transactions on Software Engineering,Journal,A,IEEE,http://dblp.uni-trier.de/db/journals/tse/
4,软件工程/系统软件/程序设计语言,TSC,IEEE Transactions on Services Computing,Journal,A,IEEE,http://dblp.uni-trier.de/db/journals/tsc/
4,软件工程/系统软件/程序设计语言,ECOOP,European Conference on Object-Oriented Programming,Conference,B,AITO,http://dblp.uni-trier.de/db/conf/ecoop/
4,软件工程/系统软件/程序设计语言,ETAPS,European Joint Conferences on Theory and Practice of Software,Conference,B,Springer,http://dblp.uni-trier.de/db/conf/etaps/
4,软件工程/系统软件/程序设计语言,ICPC,IEEE International Conference on Program Comprehension,Conference,B,IEEE,http://dblp.uni-trier.de/db/conf/iwpc/
4,软件工程/系统软件/程序设计语言,RE,IEEE International Requirements Engineering Conference,Conference,B,IEEE,http://dblp.uni-trier.de/db/conf/re/
4,软件工程/系统软件/程序设计语言,CAiSE,International Conference on Advanced Information Systems Engineering,Conference,B,Springer,http://dblp.uni-trier.de/db/conf/caise/
4,软件工程/系统软件/程序设计语言,ICFP,ACM SIGPLAN International Conference on Function Programming,Conference,B,ACM,http://dblp.uni-trier.de/db/conf/icfp/
4,软件工程/系统软件/程序设计语言,LCTES,"ACM SIGPLAN/SIGBED International Conference on Languages, Compilers andTools for Embedded Systems",Conference,B,ACM,http://dblp.uni-trier.de/db/conf/lctrts/
4,软件工程/系统软件/程序设计语言,MoDELS,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,Conference,B,"ACM, IEEE",http://dblp.uni-trier.de/db/conf/models/
4,软件工程/系统软件/程序设计语言,CP,International Conference on Principles and Practice of Constraint Programming,Conference,B,Springer,http://dblp.uni-trier.de/db/conf/cp/
4,软件工程/系统软件/程序设计语言,ICSOC,International Conference on Service Oriented Computing,Conference,B,Springer,http://dblp.uni-trier.de/db/conf/icsoc/
4,软件工程/系统软件/程序设计语言,SANER,"IEEE International Conference on Software Analysis, Evolution,and Reengineering",Conference,B,IEEE,http://dblp.uni-trier.de/db/conf/wcre/
4,软件工程/系统软件/程序设计语言,ICSME,International Conference on Software Maintenance and Evolution,Conference,B,IEEE,http://dblp.uni-trier.de/db/conf/icsm/
4,软件工程/系统软件/程序设计语言,VMCAI,"International Conference on Verification,Model Checking, and Abstract Interpretation",Conference,B,Springer,http://dblp.uni-trier.de/db/conf/vmcai/
4,软件工程/系统软件/程序设计语言,ICWS,IEEE International Conference on Web Services,Conference,B,IEEE,http://dblp.uni-trier.de/db/conf/icws/
4,软件工程/系统软件/程序设计语言,Middleware,International Middleware Conference,Conference,B,ACM/IFIP/ USENIX,http://dblp.uni-trier.de/db/conf/middleware/
4,软件工程/系统软件/程序设计语言,SAS,International Static Analysis Symposium,Conference,B,Springer,http://dblp.uni-trier.de/db/conf/sas/
4,软件工程/系统软件/程序设计语言,ESEM,International Symposium on Empirical Software Engineering and Measurement,Conference,B,ACM/IEEE,http://dblp.uni-trier.de/db/conf/esem/
4,软件工程/系统软件/程序设计语言,ISSRE,IEEE International Symposium on Software Reliability Engineering,Conference,B,IEEE,http://dblp.uni-trier.de/db/conf/issre/
4,软件工程/系统软件/程序设计语言,HotOS,USENIX Workshop on Hot Topics in Operating Systems,Conference,B,USENIX,http://dblp.uni-trier.de/db/conf/hotos/
4,软件工程/系统软件/程序设计语言,ASE,Automated Software Engineering,Journal,B,Springer,http://dblp.uni-trier.de/db/journals/ase/
4,软件工程/系统软件/程序设计语言,ESE,Empirical Software Engineering,Journal,B,Springer,http://dblp.uni-trier.de/db/journals/ese/
4,软件工程/系统软件/程序设计语言,IETS,IET Software,Journal,B,IET,http://dblp.uni-trier.de/db/journals/iee/index.html
4,软件工程/系统软件/程序设计语言,IST,Information and Software Technology,Journal,B,Elsevier,http://dblp.uni-trier.de/db/journals/infsof/index.html
4,软件工程/系统软件/程序设计语言,JFP,Journal of Functional Programming,Journal,B,Cambridge University Press,http://dblp.uni-trier.de/db/journals/jfp/
4,软件工程/系统软件/程序设计语言,,Journal of Software: Evolution and Process,Journal,B,Wiley,http://dblp.uni-trier.de/db/journals/smr/
4,软件工程/系统软件/程序设计语言,JSS,Journal of Systems and Software,Journal,B,Elsevier,http://dblp.uni-trier.de/db/journals/jss/
4,软件工程/系统软件/程序设计语言,RE,Requirements Engineering,Journal,B,Springer,http://dblp.uni-trier.de/db/journals/re/
4,软件工程/系统软件/程序设计语言,SCP,Science of Computer Programming,Journal,B,Elsevier,http://dblp.uni-trier.de/db/journals/scp/
4,软件工程/系统软件/程序设计语言,SoSyM,Software and Systems Modeling,Journal,B,Springer,http://dblp.uni-trier.de/db/journals/sosym/
4,软件工程/系统软件/程序设计语言,STVR,"Software Testing, Verification and Reliability",Journal,B,Wiley,http://dblp.uni-trier.de/db/journals/stvr/index.html
4,软件工程/系统软件/程序设计语言,SPE,Software: Practice and Experience,Journal,B,Wiley,http://dblp.uni-trier.de/db/journals/spe/
4,软件工程/系统软件/程序设计语言,PEPM,ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,Conference,C,ACM,http://dblp.uni-trier.de/db/conf/pepm/
4,软件工程/系统软件/程序设计语言,PASTE,ACMSIGPLAN-SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,Conference,C,ACM,http://dblp.uni-trier.de/db/conf/paste/
4,软件工程/系统软件/程序设计语言,APLAS,Asian Symposium on Programming Languages and Systems,Conference,C,Springer,http://dblp.uni-trier.de/db/conf/aplas/
4,软件工程/系统软件/程序设计语言,APSEC,Asia-Pacific Software Engineering Conference,Conference,C,IEEE,http://dblp.uni-trier.de/db/conf/apsec/
4,软件工程/系统软件/程序设计语言,EASE,International Conference on Evaluation and Assessment in Software Engineering,Conference,C,ACM,http://dblp.uni-trier.de/db/conf/ease/
4,软件工程/系统软件/程序设计语言,ICECCS,International Conference on Engineering of Complex Computer Systems,Conference,C,IEEE,http://dblp.uni-trier.de/db/conf/iceccs/
4,软件工程/系统软件/程序设计语言,ICST,"IEEE International Conference on Software Testing, Verification and Validation",Conference,C,IEEE,http://dblp.uni-trier.de/db/conf/icst/
4,软件工程/系统软件/程序设计语言,ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,Conference,C,IEEE,http://dblp.uni-trier.de/db/conf/ispass/
4,软件工程/系统软件/程序设计语言,SCAM,IEEE International Working Conference on Source Code Analysis and Manipulation,Conference,C,IEEE,http://dblp.uni-trier.de/db/conf/scam/
4,软件工程/系统软件/程序设计语言,COMPSAC,International Computer Software and Applications Conference,Conference,C,IEEE,http://dblp.uni-trier.de/db/conf/compsac/
4,软件工程/系统软件/程序设计语言,ICFEM,International Conference on Formal Engineering Methods,Conference,C,Springer,http://dblp.uni-trier.de/db/conf/icfem/
4,软件工程/系统软件/程序设计语言,SCC,IEEE International Conference on Services Computing,Conference,C,IEEE,http://dblp.uni-trier.de/db/conf/IEEEscc/
4,软件工程/系统软件/程序设计语言,ICSSP,International Conference on Software and System Process,Conference,C,ISPA,http://dblp.uni-trier.de/db/conf/ispw/
4,软件工程/系统软件/程序设计语言,SEKE,International Conference on Software Engineering and Knowledge Engineering,Conference,C,KSI,http://dblp.uni-trier.de/db/conf/seke/
4,软件工程/系统软件/程序设计语言,QRS,"International Conference on Software Quality, Reliability and Security",Conference,C,IEEE,http://paris.utdallas.edu/qrs/
4,软件工程/系统软件/程序设计语言,ICSR,International Conference on Software Reuse,Conference,C,Springer,http://dblp.uni-trier.de/db/conf/icsr/
4,软件工程/系统软件/程序设计语言,ICWE,International Conference on Web Engineering,Conference,C,Springer,http://dblp.uni-trier.de/db/conf/icwe/
4,软件工程/系统软件/程序设计语言,SPIN,International Symposium on Model Checking of Software,Conference,C,Springer,http://dblp.uni-trier.de/db/conf/spin/index.html
4,软件工程/系统软件/程序设计语言,ATVA,International Symposium on Automated Technology for Verification and Analysis,Conference,C,Springer,http://dblp.uni-trier.de/db/conf/atva/
4,软件工程/系统软件/程序设计语言,LOPSTR,International Symposium on Logic-based Program Synthesis and Transformation,Conference,C,Springer,http://dblp.uni-trier.de/db/conf/lopstr/
4,软件工程/系统软件/程序设计语言,TASE,Theoretical Aspects of Software Engineering Conference,Conference,C,IEEE,http://dblp.uni-trier.de/db/conf/tase/
4,软件工程/系统软件/程序设计语言,MSR,Mining Software Repositories,Conference,C,IEEE/ACM,http://dblp.uni-trier.de/db/conf/msr/
4,软件工程/系统软件/程序设计语言,REFSQ,Requirements Engineering: Foundation for Software Quality,Conference,C,Springer,http://dblp.uni-trier.de/db/conf/refsq/
4,软件工程/系统软件/程序设计语言,WICSA,Working IEEE/IFIP Conference on Software Architecture,Conference,C,IEEE,http://dblp.uni-trier.de/db/conf/wicsa/
4,软件工程/系统软件/程序设计语言,Internetware,Asia-Pacific Symposium on Internetware,Conference,C,ACM,https://dblp.org/db/conf/internetware/index.html
4,软件工程/系统软件/程序设计语言,RV,International Conference on Runtime Verification,Conference,C,Springer,https://dblp.org/db/conf/rv/index.html
4,软件工程/系统软件/程序设计语言,CL,"Computer Languages, Systems and Structures",Journal,C,Elsevier,http://dblp.uni-trier.de/db/journals/cl/index.html
4,软件工程/系统软件/程序设计语言,IJSEKE,International Journal of Software Engineering and Knowledge Engineering,Journal,C,World Scientific,http://dblp.uni-trier.de/db/journals/ijseke/index.html
4,软件工程/系统软件/程序设计语言,STTT,International Journal of Software Tools for Technology Transfer,Journal,C,Springer,http://dblp.uni-trier.de/db/journals/sttt/
4,软件工程/系统软件/程序设计语言,JLAMP,Journal of Logical and Algebraic Methods in Programming,Journal,C,Elsevier,https://dblp.uni-trier.de/db/journals/jlap/index.html
4,软件工程/系统软件/程序设计语言,JWE,Journal of Web Engineering,Journal,C,Rinton Press,http://dblp.uni-trier.de/db/journals/jwe/
4,软件工程/系统软件/程序设计语言,SOCA,Service Oriented Computing and Applications,Journal,C,Springer,http://dblp.uni-trier.de/db/journals/soca/
4,软件工程/系统软件/程序设计语言,SQJ,Software Quality Journal,Journal,C,Springer,http://dblp.uni-trier.de/db/journals/sqj/
4,软件工程/系统软件/程序设计语言,TPLP,Theory and Practice of Logic Programming,Journal,C,Cambridge University Press,http://dblp.uni-trier.de/db/journals/tplp/
4,软件工程/系统软件/程序设计语言,PACM PL,Proceedings of the ACM on Programming Languages,Journal,C,ACM,https://dblp.org/db/journals/pacmpl/index.html
5,数据库/数据挖掘/内容检索,SIGMOD,ACM SIGMOD Conference,Conference,A,ACM,http://dblp.uni-trier.de/db/conf/sigmod/
5,数据库/数据挖掘/内容检索,SIGKDD,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,Conference,A,ACM,http://dblp.uni-trier.de/db/conf/kdd/
5,数据库/数据挖掘/内容检索,ICDE,IEEE International Conference on Data Engineering,Conference,A,IEEE,http://dblp.uni-trier.de/db/conf/icde/
5,数据库/数据挖掘/内容检索,SIGIR,International ACM SIGIR Conference on Research and Development in Information Retrieval,Conference,A,ACM,http://dblp.uni-trier.de/db/conf/sigir/
5,数据库/数据挖掘/内容检索,VLDB,International Conference on Very Large Data Bases,Conference,A,Morgan Kaufmann,http://dblp.uni-trier.de/db/conf/vldb/
5,数据库/数据挖掘/内容检索,TODS,ACM Transactions on Database Systems,Journal,A,ACM,http://dblp.uni-trier.de/db/journals/tods/
5,数据库/数据挖掘/内容检索,TOIS,ACM Transactions on Information Systems,Journal,A,ACM,http://dblp.uni-trier.de/db/journals/tois/
5,数据库/数据挖掘/内容检索,TKDE,IEEE Transactions on Knowledge and Data Engineering,Journal,A,IEEE,http://dblp.uni-trier.de/db/journals/tkde/
5,数据库/数据挖掘/内容检索,VLDBJ,The VLDB Journal,Journal,A,Springer,http://dblp.uni-trier.de/db/journals/vldb/
5,数据库/数据挖掘/内容检索,CIKM,ACM International Conference on Information and Knowledge Management,Conference,B,ACM,http://dblp.uni-trier.de/db/conf/cikm/
5,数据库/数据挖掘/内容检索,WSDM,ACM International Conference on Web Search and Data Mining,Conference,B,ACM,http://dblp.uni-trier.de/db/conf/wsdm/
5,数据库/数据挖掘/内容检索,PODS,ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,Conference,B,ACM,http://dblp.uni-trier.de/db/conf/pods/
5,数据库/数据挖掘/内容检索,DASFAA,International Conference on Database Systems for Advanced Applications,Conference,B,Springer,http://dblp.uni-trier.de/db/conf/dasfaa/
5,数据库/数据挖掘/内容检索,ECML-PKDD,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,Conference,B,Springer,http://dblp.uni-trier.de/db/conf/ecml/
5,数据库/数据挖掘/内容检索,ISWC,IEEE International Semantic Web Conference,Conference,B,IEEE,http://dblp.uni-trier.de/db/conf/semweb/
5,数据库/数据挖掘/内容检索,ICDM,IEEE International Conference on Data Mining,Conference,B,IEEE,http://dblp.uni-trier.de/db/conf/icdm/
5,数据库/数据挖掘/内容检索,ICDT,International Conference on Database Theory,Conference,B,Springer,http://dblp.uni-trier.de/db/conf/icdt/
5,数据库/数据挖掘/内容检索,EDBT,International Conference on Extending DatabaseTechnology,Conference,B,Springer ,http://dblp.uni-trier.de/db/conf/edbt/
5,数据库/数据挖掘/内容检索,CIDR,Conference on Innovative DataSystems Research,Conference,B,Online Proceeding,http://dblp.uni-trier.de/db/conf/cidr/
5,数据库/数据挖掘/内容检索,SDM,SIAM International Conference on Data Mining,Conference,B,SIAM,http://dblp.uni-trier.de/db/conf/sdm/
5,数据库/数据挖掘/内容检索,RecSys,ACM Conference on Recommender Systems,Conference,B,ACM,https://dblp.org/db/conf/recsys/index.html
5,数据库/数据挖掘/内容检索,TKDD,ACM Transactions on KnowledgeDiscovery from Data,Journal,B,ACM,http://dblp.uni-trier.de/db/journals/tkdd/
5,数据库/数据挖掘/内容检索,TWEB,ACM Transactions on the Web,Journal,B,ACM,http://dblp.uni-trier.de/db/journals/tweb/
5,数据库/数据挖掘/内容检索,AEI,Advanced Engineering Informatics,Journal,B,Elsevier,http://dblp.uni-trier.de/db/journals/aei/
5,数据库/数据挖掘/内容检索,DKE,Data & Knowledge Engineering,Journal,B,Elsevier,http://dblp.uni-trier.de/db/journals/dke/
5,数据库/数据挖掘/内容检索,DMKD,Data Mining and KnowledgeDiscovery,Journal,B,Springer,http://dblp.uni-trier.de/db/journals/datamine/
5,数据库/数据挖掘/内容检索,EJIS,European Journal of Information Systems,Journal,B,The OR Society,http://dblp.uni-trier.de/db/journals/ejis/
5,数据库/数据挖掘/内容检索,,GeoInformatica,Journal,B,Springer,http://dblp.uni-trier.de/db/journals/geoinformatica/
5,数据库/数据挖掘/内容检索,IPM,Information Processing and Management,Journal,B,Elsevier,http://dblp.uni-trier.de/db/journals/ipm/
5,数据库/数据挖掘/内容检索,,Information Sciences,Journal,B,Elsevier,http://dblp.uni-trier.de/db/journals/isci/
5,数据库/数据挖掘/内容检索,IS,Information Systems,Journal,B,Elsevier,http://dblp.uni-trier.de/db/journals/is/
5,数据库/数据挖掘/内容检索,JASIST,Journal of the Association for Information Science and Technology,Journal,B,Wiley,http://dblp.uni-trier.de/db/journals/jasis/
5,数据库/数据挖掘/内容检索,JWS,Journal of Web Semantics,Journal,B,Elsevier,http://dblp.uni-trier.de/db/journals/ws/
5,数据库/数据挖掘/内容检索,KAIS,Knowledge and Information Systems,Journal,B,Springer,http://dblp.uni-trier.de/db/journals/kais/
5,数据库/数据挖掘/内容检索,APWeb,Asia Pacific Web Conference,Conference,C,Springer,http://dblp.uni-trier.de/db/conf/apweb/
5,数据库/数据挖掘/内容检索,DEXA,International Conference on Database and Expert System Applications,Conference,C,Springer,http://dblp.uni-trier.de/db/conf/dexa/
5,数据库/数据挖掘/内容检索,ECIR,European Conference on Information Retrieval,Conference,C,Springer,http://dblp.uni-trier.de/db/conf/ecir/
5,数据库/数据挖掘/内容检索,ESWC,Extended Semantic Web Conference,Conference,C,Elsevier,http://dblp.uni-trier.de/db/conf/esws/
5,数据库/数据挖掘/内容检索,WebDB,International Workshop on Web andDatabases,Conference,C,ACM,http://dblp.uni-trier.de/db/conf/webdb/
5,数据库/数据挖掘/内容检索,ER,International Conference on Conceptual Modeling,Conference,C,Springer,http://dblp.uni-trier.de/db/conf/er/
5,数据库/数据挖掘/内容检索,MDM,International Conference on Mobile Data Management,Conference,C,IEEE,http://dblp.uni-trier.de/db/conf/mdm/
5,数据库/数据挖掘/内容检索,SSDBM,International Conference on Scientific andStatistical Database Management,Conference,C,IEEE,http://dblp.uni-trier.de/db/conf/ssdbm/
5,数据库/数据挖掘/内容检索,WAIM,International Conference on Web Age Information Management,Conference,C,Springer,http://dblp.uni-trier.de/db/conf/waim/
5,数据库/数据挖掘/内容检索,SSTD,International Symposium on Spatial and Temporal Databases,Conference,C,Springer,http://dblp.uni-trier.de/db/conf/ssd/
5,数据库/数据挖掘/内容检索,PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,Conference,C,Springer,http://dblp.uni-trier.de/db/conf/pakdd/
5,数据库/数据挖掘/内容检索,WISE,Web Information Systems Engineering,Conference,C,Springer,http://dblp.uni-trier.de/db/conf/wise/
5,数据库/数据挖掘/内容检索,ADMA,International Conference on Advanced Data Mining and Applications,Conference,C,Springer,https://dblp.org/db/conf/adma/index.html
5,数据库/数据挖掘/内容检索,DPD,Distributed and Parallel Databases,Journal,C,Springer,http://dblp.uni-trier.de/db/journals/dpd/
5,数据库/数据挖掘/内容检索,I&M,Information & Management,Journal,C,Elsevier,http://dblp.uni-trier.de/db/journals/iam/
5,数据库/数据挖掘/内容检索,IPL,Information Processing Letters,Journal,C,Elsevier,http://dblp.uni-trier.de/db/journals/ipl/
5,数据库/数据挖掘/内容检索,IR,Information Retrieval Journal,Journal,C,Springer,http://dblp.uni-trier.de/db/journals/ir/
5,数据库/数据挖掘/内容检索,IJCIS,International Journal of Cooperative Information Systems,Journal,C,World Scientific,http://dblp.uni-trier.de/db/journals/ijcis/
5,数据库/数据挖掘/内容检索,IJGIS,International Journal of Geographical Information Science,Journal,C,Taylor & Francis,http://dblp.uni-trier.de/db/journals/gis/
5,数据库/数据挖掘/内容检索,IJIS,International Journal of Intelligent Systems,Journal,C,Wiley,http://dblp.uni-trier.de/db/journals/ijis/
5,数据库/数据挖掘/内容检索,IJKM,International Journal of Knowledge Management,Journal,C,IGI,http://dblp.uni-trier.de/db/journals/ijkm/
5,数据库/数据挖掘/内容检索,IJSWIS,International Journal on Semantic Web and Information Systems,Journal,C,IGI,http://dblp.uni-trier.de/db/journals/ijswis/
5,数据库/数据挖掘/内容检索,JCIS,Journal of Computer Information Systems,Journal,C,IACIS,http://dblp.uni-trier.de/db/journals/jcis/
5,数据库/数据挖掘/内容检索,JDM,Journal of Database Management,Journal,C,IGI-Global,http://dblp.uni-trier.de/db/journals/jdm/
5,数据库/数据挖掘/内容检索,JGITM,Journal of Global Information Technology Management,Journal,C,Ivy League Publishing,https://dblp.org/db/journals/jgim/index.html
5,数据库/数据挖掘/内容检索,JIIS,Journal of Intelligent Information Systems,Journal,C,Springer,http://dblp.uni-trier.de/db/journals/jiis/
5,数据库/数据挖掘/内容检索,JSIS,The Journal of Strategic Information Systems,Journal,C,Elsevier,http://dblp.uni-trier.de/db/journals/jsis/
5,数据库/数据挖掘/内容检索,DSE,Data Science and Engineering,Journal,C,CCF,https://dblp.org/db/journals/dase/index.html
6,计算机科学理论,STOC,ACM Symposium on Theory of Computing,Conference,A,ACM,http://dblp.uni-trier.de/db/conf/stoc/
6,计算机科学理论,SODA,ACM-SIAM Symposium on Discrete Algorithms,Conference,A,SIAM,http://dblp.uni-trier.de/db/conf/soda/
6,计算机科学理论,CAV,International Conference on Computer Aided Verification,Conference,A,Springer,http://dblp.uni-trier.de/db/conf/cav/
6,计算机科学理论,FOCS,IEEE Annual Symposium on Foundations of Computer Science,Conference,A,IEEE,http://dblp.uni-trier.de/db/conf/focs/
6,计算机科学理论,LICS,ACM/IEEE Symposium on Logic in Computer Science,Conference,A,IEEE,http://dblp.uni-trier.de/db/conf/lics/
6,计算机科学理论,TIT,IEEE Transactions on Information Theory,Journal,A,IEEE,http://dblp.uni-trier.de/db/journals/tit/
6,计算机科学理论,IANDC,Information and Computation,Journal,A,Elsevier,http://dblp.uni-trier.de/db/journals/iandc/
6,计算机科学理论,SICOMP,SIAM Journal on Computing,Journal,A,SIAM,http://dblp.uni-trier.de/db/journals/siamcomp/
6,计算机科学理论,SoCG,International Symposium on Computational Geometry,Conference,B,ACM,http://dblp.uni-trier.de/db/conf/compgeom/
6,计算机科学理论,ESA,European Symposium on Algorithms,Conference,B,Springer,http://dblp.uni-trier.de/db/conf/esa/
6,计算机科学理论,CCC,Conference on Computational Complexity,Conference,B,IEEE,http://dblp.uni-trier.de/db/conf/coco/
6,计算机科学理论,ICALP,"International Colloquium on Automata, Languages and Programming",Conference,B,Springer,http://dblp.uni-trier.de/db/conf/icalp/
6,计算机科学理论,,International Conference on Automated Deduction/International Joint Conference on Automated Reasoning,Conference,B,Springer,http://dblp.uni-trier.de/db/conf/cade/
6,计算机科学理论,CONCUR,International Conference on Concurrency Theory,Conference,B,Springer,http://dblp.uni-trier.de/db/conf/concur/
6,计算机科学理论,HSCC,International Conference on Hybrid Systems: Computation and Control,Conference,B,Springer and ACM,http://dblp.uni-trier.de/db/conf/hybrid/
6,计算机科学理论,SAT,International Conference on Theory and Applications of Satisfiability Testing,Conference,B,Springer,http://dblp.uni-trier.de/db/conf/sat/
6,计算机科学理论,COCOON,International Computing and Combinatorics Conference,Conference,B,Springer,https://dblp.org/db/conf/cocoon/index.html
6,计算机科学理论,TALG,ACM Transactions on Algorithms,Journal,B,ACM,http://dblp.uni-trier.de/db/journals/talg/
6,计算机科学理论,TOCL,ACM Transactions on Computational Logic,Journal,B,ACM,http://dblp.uni-trier.de/db/journals/tocl/
6,计算机科学理论,TOMS,ACM Transactions on Mathematical Software,Journal,B,ACM,http://dblp.uni-trier.de/db/journals/toms/
6,计算机科学理论,Algorithmica,Algorithmica,Journal,B,Springer,http://dblp.uni-trier.de/db/journals/algorithmica/
6,计算机科学理论,CC,Computational complexity,Journal,B,Springer,http://dblp.uni-trier.de/db/journals/cc/
6,计算机科学理论,FAC,Formal Aspects of Computing,Journal,B,Springer,http://dblp.uni-trier.de/db/journals/fac/
6,计算机科学理论,FMSD,Formal Methods in System Design,Journal,B,Springer,http://dblp.uni-trier.de/db/journals/fmsd/
6,计算机科学理论,INFORMS,INFORMS Journal on Computing,Journal,B,INFORMS,http://dblp.uni-trier.de/db/journals/informs/
6,计算机科学理论,JCSS,Journal of Computer and System Sciences,Journal,B,Elsevier,http://dblp.uni-trier.de/db/journals/jcss/
6,计算机科学理论,JGO,Journal of Global Optimization,Journal,B,Springer,http://dblp.uni-trier.de/db/journals/jgo/
6,计算机科学理论,JSC,Journal of Symbolic Computation,Journal,B,Elsevier,http://dblp.uni-trier.de/db/journals/jsc/
6,计算机科学理论,MSCS,Mathematical Structures in Computer Science,Journal,B,Cambridge University Press,http://dblp.uni-trier.de/db/journals/mscs/
6,计算机科学理论,TCS,Theoretical Computer Science,Journal,B,Elsevier,http://dblp.uni-trier.de/db/journals/tcs/
6,计算机科学理论,CSL,Computer Science Logic,Conference,C,Springer,http://dblp.uni-trier.de/db/conf/csl/
6,计算机科学理论,FMCAD,Formal Method in Computer-Aided Design,Conference,C,ACM,http://dblp.uni-trier.de/db/conf/fmcad/
6,计算机科学理论,FSTTCS,Foundations of Software Technology and Theoretical Computer Science,Conference,C,Indian Association for Research in Computing Science,http://dblp.uni-trier.de/db/conf/fsttcs/
6,计算机科学理论,DSAA,IEEE International Conference on Data Science and Advanced Analytics,Conference,C,IEEE,https://dblp.uni-trier.de/db/conf/dsaa/
6,计算机科学理论,ICTAC,International Colloquium on Theoretical Aspects of Computing,Conference,C,Springer,http://dblp.uni-trier.de/db/conf/ictac/
6,计算机科学理论,IPCO,International Conference on Integer Programming and Combinatorial Optimization,Conference,C,Springer,http://dblp.uni-trier.de/db/conf/ipco/
6,计算机科学理论,RTA,International Conference on Rewriting Techniques and Applications,Conference,C,Springer,http://dblp.uni-trier.de/db/conf/rta/
6,计算机科学理论,ISAAC,International Symposium on Algorithms and Computation,Conference,C,Springer,http://dblp.uni-trier.de/db/conf/isaac/
6,计算机科学理论,MFCS,International Conference on Mathematical Foundations of Computer Science,Conference,C,Springer,http://dblp.uni-trier.de/db/conf/mfcs/
6,计算机科学理论,STACS,Symposium on Theoretical Aspects of Computer Science,Conference,C,Springer,http://dblp.uni-trier.de/db/conf/stacs/
6,计算机科学理论,SETTA,"International Symposium on Dependable Software Engineering: Theories, Tools, and Applications",Conference,C,Springer,https://dblp.org/db/conf/setta/index.html
6,计算机科学理论,ACTA,Acta Informatica,Journal,C,Springer,http://dblp.uni-trier.de/db/journals/acta/
6,计算机科学理论,APAL,Annals of Pure and Applied Logic,Journal,C,Elsevier,http://dblp.uni-trier.de/db/journals/apal/
6,计算机科学理论,DAM,Discrete Applied Mathematics,Journal,C,Elsevier,http://dblp.uni-trier.de/db/journals/dam/
6,计算机科学理论,FUIN,Fundamenta Informaticae,Journal,C,IOS Press,http://dblp.uni-trier.de/db/journals/fuin/
6,计算机科学理论,IPL,Information Processing Letters,Journal,C,Elsevier,http://dblp.uni-trier.de/db/journals/ipl/
6,计算机科学理论,JCOMPLEXITY,Journal of Complexity,Journal,C,Elsevier,http://dblp.uni-trier.de/db/journals/jc/
